State,County,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Colorado,Larimer,253072,260541,265372,268448,271510,275116,280713,286112,291650,296696
Colorado,Las Animas,15297,15116,15424,15706,15573,15582,15673,15734,15770,15775
Colorado,Lincoln,6070,5912,5936,5904,5751,5644,5530,5484,5468,5423
Colorado,Logan,20699,21459,21548,21825,21795,21694,21911,22163,22128,22451
Colorado,Mesa,117631,119496,122440,124994,127678,130194,134665,139434,143155,147851
Colorado,Mineral,832,796,812,828,848,814,789,807,774,732
Colorado,Moffat,13147,13065,13193,13106,13175,12956,13115,13348,13585,13728
Colorado,Montezuma,23847,23692,23935,24255,24456,24514,24968,25157,25222,25507
Colorado,Montrose,33599,34361,35154,35767,36310,37227,38282,39673,40658,41535
Colorado,Morgan,27257,27307,27556,27736,27736,27727,27816,27745,27701,28099
Colorado,Otero,20242,20012,19688,19585,19436,19247,19042,18783,18726,18743
Colorado,Ouray,3775,3787,3872,3880,4003,4055,4090,4250,4405,4395
Colorado,Park,14670,15255,15760,16024,16130,16204,16230,16445,16394,16098
Colorado,Phillips,4455,4456,4497,4415,4475,4467,4414,4378,4349,4359
Colorado,Pitkin,14817,15013,15098,15217,15220,15399,15504,15814,16454,17008
Colorado,Prowers,14431,14182,14057,13853,13613,13480,13130,12736,12663,12593
Colorado,Pueblo,141800,144014,146537,147907,148654,149825,152026,155121,156748,157846
Colorado,Rio Blanco,5986,5868,5951,5923,6007,5945,6176,6373,6522,6779
Colorado,Rio Grande,12445,12213,12224,12296,12328,12208,12033,11852,11860,11872
Colorado,Routt,19815,20210,20469,20893,21162,21398,21859,22491,23135,23688
Colorado,Saguache,5939,6024,6209,6262,6365,6296,6223,6148,6179,6134
Colorado,San Juan,562,581,594,610,631,627,649,661,670,657
Colorado,San Miguel,6609,6858,7111,7062,7038,7097,7071,7322,7366,7379
Colorado,Sedgwick,2746,2661,2694,2652,2551,2522,2474,2400,2421,2392
Colorado,Summit,23700,24716,25006,25408,25313,25487,26019,26603,27144,27678
Colorado,Teller,20655,21193,21543,21682,21678,21978,22281,22707,22725,22937
Colorado,Washington,4939,4874,5035,5028,4923,4912,4907,4883,4792,4800
Colorado,Weld,182782,192278,202234,208858,215322,222879,230703,237692,243442,248193
Colorado,Yuma,9823,9822,9762,9923,9791,9765,9784,9788,9843,10022
Connecticut,Fairfield,884364,889063,892900,896342,897472,897653,896254,897498,903824,910421
Connecticut,Hartford,858416,862573,867451,873335,874449,878081,881298,884548,887891,891667
Connecticut,Litchfield,182597,184118,185974,187424,188601,188912,189682,189866,190175,190015
Connecticut,Middlesex,155593,157006,159187,160864,161450,162191,163473,164129,164962,165607
Connecticut,New Haven,824911,829875,835099,841939,844505,847162,850207,853598,856622,860025
Connecticut,New London,259848,261396,264698,266584,268595,269664,270814,270669,272634,273630
Connecticut,Tolland,136863,138934,142362,145195,146706,147657,148954,149718,151583,152330
Connecticut,Windham,109185,109870,111078,112653,114316,115636,116778,117244,117888,118112
Delaware,Kent,127229,129228,131824,134605,139342,144585,149704,153969,157925,160081
Delaware,New Castle,501837,506026,510158,514769,518944,523343,527174,530555,533958,536898
Delaware,Sussex,157307,160445,164187,168629,172517,177222,182390,187225,191991,194751
District of Columbia,District of Columbia,572046,574504,573158,568502,567754,567136,570681,574404,580236,592228
Florida,Alachua,218611,221718,224614,227022,229867,233756,239506,242685,244888,246657
Florida,Baker,22374,22620,23298,23555,24142,24832,25571,26212,26725,27124
Florida,Bay,148393,150207,152741,155044,158804,162917,165644,165345,166267,167464
Florida,Bradford,26064,26083,26306,27035,27703,28098,28506,28825,28961,28979
Florida,Brevard,477819,486429,495425,504847,518722,529907,535138,539719,542378,542109
Florida,Broward,1630600,1662848,1690118,1707543,1725461,1746896,1739348,1720825,1723633,1733310
Florida,Calhoun,13040,12847,12947,13293,13445,13850,13997,14222,14351,14692
Florida,Charlotte,142266,146311,150123,153235,157755,155262,157099,159742,160467,159629
Florida,Citrus,118649,121197,123491,126215,129840,133791,137826,140974,142122,141381
Florida,Clay,141629,145685,150947,155620,163238,169418,178339,184256,187289,189101
Florida,Collier,254015,264240,275490,285321,296021,307452,312621,314437,316641,318485
Florida,Columbia,56571,57040,57930,59395,60804,63109,65890,66604,67318,67412
Florida,DeSoto,32196,32402,32446,33271,33895,33864,34300,34537,34374,34592
Florida,Dixie,13758,14033,14234,14364,14825,15427,15892,16083,16214,16403
Florida,Duval,779800,790681,800532,809633,820070,828988,842098,851033,855437,859795
